Ref,Text Before,Named Entity,Text After,Label,Status
Federalist No 36 The Same Subject Continued (Concerning The General Power Of Taxation) 12,"Let it be recollected, that the proportion of these taxes is not to be left to the discretion of the national Legislature: but is to be determined by the numbers of each State as described in the ",second section of the first article,". An actual census or enumeration of the people must furnish the rule; a circumstance which effectually shuts the door to partiality or oppression. The abuse of this power of taxation seems to have been provided against with guarded circumspection. In addition to the precaution just mentioned, there is a provision that ""all duties, imposts and excises, shall be UNIFORM throughout the United States.""",Citation,tp
Federalist No 70 The Executive Department Further Considered 10,"This unity may be destroyed in two ways; either by vesting the power in two or more magistrates of equal dignity and authority; or by vesting it ostensibly in one man, subject in whole or in part to the controul and cooperation of others, in the capacity of counsellors to him. Of the first the two consuls of Rome may serve as an example; of the last we shall find examples in the ",constitutions of several of the states,". New-York and New-Jersey, if recollect right, are the only states, which have entrusted the executive authority wholly to single men(a)New-York has no council except for the single purpose of appointing to offices; New-Jersey has a council whom the governor may consult. But I think from the terms of the constitution their resolutions do not bind him.6 Both these methods of destroying the unity of the executive have their partisans; but the votaries of an executive council are the most numerous. They are both liable, if not to equal, to similar objections; and may in most lights be examined in conjunction.",Citation,tp
Federalist No 44 Restrictions On The Authority Of The Several States 22,The indiscreet zeal of the adversaries to the ,Constitution,", has betrayed them into an attack on this part of it also, without which it would have been evidently and radically defective. To be fully sensible of this we need only suppose for a moment, that the supremacy of the ",Citation,tp
Federalist No 44 Restrictions On The Authority Of The Several States 22,", has betrayed them into an attack on this part of it also, without which it would have been evidently and radically defective. To be fully sensible of this we need only suppose for a moment, that the supremacy of the ",State Constitutions, had been left compleat by a saving clause in their favor.,Citation,tp
Federalist No 32 The Same Subject Continued (Concerning The General Power Of Taxation) 9,The ,last clause of the eighth section of the first article of the plan under consideration,", authorises the national legislature ""to make all laws which shall be necessary and proper, for carrying into execution the powers by that ",Citation,tp
Federalist No 32 The Same Subject Continued (Concerning The General Power Of Taxation) 9,", authorises the national legislature ""to make all laws which shall be necessary and proper, for carrying into execution the powers by that ",Constitution," vested in the government of the United States, or in any department or officer thereof;"" and the ",Citation,tp
Federalist No 32 The Same Subject Continued (Concerning The General Power Of Taxation) 9," vested in the government of the United States, or in any department or officer thereof;"" and the ",second clause of the sixth article," declares, that ""the Constitution and the Laws of the United States made in pursuance thereof and the treaties made by their authority shall be the supreme law of the land; any thing in the constitution or laws of any State to the contrary notwithstanding.""",Citation,tp
Federalist No 32 The Same Subject Continued (Concerning The General Power Of Taxation) 12,"This simple train of enquiry furnishes us at once with a test by which to judge of the true nature of the clause complained of It conducts us to this palpable truth, that a power to lay and collect taxes must be a power to pass all laws necessary and proper for the execution of that power; and what does the unfortunate and calum[n]iated provision in question do more than declare the same truth; to wit, that the national legislature to whom the power of laying and collecting taxes had been previously given, might in the execution of that power pass all laws necessary and proper to carry it into effect? I have applied these observations thus particularly to the power of taxation, because it is the immediate subject under consideration, and because it is the most important of the authorities proposed to be conferred upon the Union. But the same process will lead to the same result in relation to all other powers declared in the ",constitution,". And it is expressly to execute these powers, that the ",Citation,tp
Federalist No 32 The Same Subject Continued (Concerning The General Power Of Taxation) 12,". And it is expressly to execute these powers, that the ",sweeping clause,", as it has been affectedly called, authorises the national legislature to pass all necessary and proper laws. If there is any thing exceptionable, it must be sought for in the specific powers, upon which this general declaration is predicated. The declaration itself, though it may be chargeable with tautology or redundancy, is at least perfectly harmless.",Citation,tp
Federalist No 78 The Judiciary Department 4,"(a) The celebrated Montesquieu speaking of them says, ""of the three powers above mentioned, the JUDICIARY is next to nothing."" ","Spirit of Laws, vol. I. page 186",. (b) ,Citation,tp
Federalist No 78 The Judiciary Department 4,. (b) ,Idem. page 181.5, (c) ,Citation,tp
Federalist No 78 The Judiciary Department 4, (c) ,"Vide Protest of the minority of the convention of Pennsylvania, Martin's speech, &amp;c",.,Citation,tp
Federalist No 60 The Same Subject Continued (Concerning The Power Of Congress To Regulate The Election Of Members) 14,"But upon what principle is the discrimination of the places of election to be made in order to answer the purpose of the meditated preference? Are the wealthy and the well born, as they are called, confined to particular spots in the several states? Have they by some miraculous instinct or foresight set apart in each of them a common place of residence? Are they only to be met with in the towns or cities? Or are they, on the contrary, scattered over the face of the country as avarice or chance may have happened to cast their own lot, or that of their predecessors? If the latter is the case, (as every intelligent man knows it to be)(a) is it not evident that the policy of confining the places of elections to particular districts would be as subversive of its own aim as it would be exceptionable on every other account? The truth is that there is no method of securing to the rich the preference apprehended, but by prescribing qualifications of property either for those who may elect, or be elected. But this forms no part of the power to be conferred upon the national government. Its authority would be expressly restricted to the regulation of the times, the places, and the manner of elections. The qualifications of the persons who may choose or be chosen, as has been remarked upon another occasion, are defined and fixed in the ",constitution,; and are unalterable by the legislature.,Citation,tp
Federalist No 70 The Executive Department Further Considered 22,"The idea of a council to the executive, which has so generally obtained in the state constitutions, has been derived from that maxim republican jealousy, which considers power as safer in the hands of a number of men than of a single man. If the maxim should be admitted to be applicable to the case, I should contend that the advantage on that side would not counterballance the numerous disadvantages on the opposite side. But I do not think the rule at all applicable to the executive power. I clearly concur in opinion in this particular with a writer whom the celebrated Junius pronounces to be ""deep, solid and ingenious,"" that, ""the executive power is more easily confined when it is one:""(b)",De Loslme,.7 That it is far more safe there should be a single object for the jealousy and watchfulness of the people; and in a word that multiplication of the executive is rather dangerous than friendly to liberty.,Citation,tp
Federalist No 19 The Same Subject Continued (The Insufficiency Of The Present Confederation To Preserve The Union) 19,"They are kept together by the peculiarity of their topographical position, by their individual weakness and insignificancy; by the fear of powerful neighbours, to one of which they were formerly subject; by the few sources of contention among a people of such simple and homogeneous manners; by their joint interest in their dependent possessions; by the mutual aid they stand in need of, for suppressing insurrections and rebellions; an aid expressly stipulated, and often required and afforded; and by the necessity of some regular and permanent provision for accommodating disputes among the Cantons. The provision is, that the parties at variance shall each choose four judges out of the neutral Cantons, who in case of disagreement, chuse an umpire. This tribunal, under an oath of impartiality, pronounces definitive sentence: which all the Cantons are bound to enforce. The competency of this regulation may be estimated, by a clause in their ",treaty of 1683,", with Victor Amadaeus of Savoy; in which he obliges himself to enterpose as mediator in disputes between the Cantons; and to employ force, if necessary, against the contumacious party.",Citation,tp
Federalist No 25 The Same Subject Continued (The Powers Necessary To The Common Defense Further Considered) 10,"All violent policy, contrary to the natural and experienced course of human affairs, defeats itself. Pennsylvania at this instant affords an example of the truth of this remark. The ",bill of rights of that State," declares, that standing armies are dangerous to liberty, and ought not to be kept up in time of peace. Pennsylvania, nevertheless, in a time of profound peace, from the existence of partial disorders in one or two of her counties, has resolved to raise a body of troops; and in all probability, will keep them up as long as there is an appearance of danger to the public peace. The conduct of Massachusetts affords a lesson on the same subject, though on different ground. That State (without waiting for the sanction of Congress as the articles of the confederation require) was compelled to raise troops to quell a domestic insurrection, and still keeps a corps in pay to prevent a revival of the spirit of revolt. The particular ",Citation,tp
Federalist No 25 The Same Subject Continued (The Powers Necessary To The Common Defense Further Considered) 10," declares, that standing armies are dangerous to liberty, and ought not to be kept up in time of peace. Pennsylvania, nevertheless, in a time of profound peace, from the existence of partial disorders in one or two of her counties, has resolved to raise a body of troops; and in all probability, will keep them up as long as there is an appearance of danger to the public peace. The conduct of Massachusetts affords a lesson on the same subject, though on different ground. That State (without waiting for the sanction of Congress as the articles of the confederation require) was compelled to raise troops to quell a domestic insurrection, and still keeps a corps in pay to prevent a revival of the spirit of revolt. The particular ",constitution of Massachusetts," opposed no obstacle to the measure; but the instance is still of use to instruct us, that cases are likely to occur under our governments, as well as under those of other nations, which will sometimes render a military force in time of peace essential to the security of the society; and that it is therefore improper, in this respect, to controul the legislative discretion. It also teaches us, in its application to the United States, how little the rights of a feeble government are likely to be respected, even by its own constituents. And it teaches us, in addition to the rest, how unequal parchment provisions are to a struggle with public necessity.",Citation,tp
Federalist No 42 The Powers Conferred By The Constitution Further Considered 20,"The power of prescribing by general laws the manner in which the public acts, records and judicial proceedings of each State shall be proved, and the effect they shall have in other States, is an evident and valuable improvement on the clause relating to this subject in the ",articles confederation,". The meaning of the latter is extremely indeterminate; and can be of little importance under any interpretation which it will bear. The power here established, may be rendered a very convenient instrument of justice, and be particularly beneficial on the borders of contiguous States, where the effects liable to justice, may be suddenly and secretly translated in any stage of the process, within a foreign jurisdiction. The ",Citation,tp
Federalist No 42 The Powers Conferred By The Constitution Further Considered 20,". The meaning of the latter is extremely indeterminate; and can be of little importance under any interpretation which it will bear. The power here established, may be rendered a very convenient instrument of justice, and be particularly beneficial on the borders of contiguous States, where the effects liable to justice, may be suddenly and secretly translated in any stage of the process, within a foreign jurisdiction. The ",power of establishing post-roads,", must in every view be a harmless power; and may perhaps, by judicious management, become productive of great public conveniency. Nothing which tends to facilitate the intercourse between the States, can be deemed unworthy of the public care.",Citation,tp
Federalist No 64 The Powers Of The Senate 5,The ,2d. section," gives power to the president ""by and with the ",Citation,tp
Federalist No 64 The Powers Of The Senate 5," gives power to the president ""by and with the ",advice and consent," of the senate to make treaties PROVIDED TWO THIRDS OF THE SENATORS PRESENT CONCUR.""",Citation,tp
Federalist No 6 Concerning Dangers From Dissensions Between The States 5,The celebrated ,Pericles,", in compliance with the resentments of a prostitute, at the expence of much of the blood and treasure of his countrymen, attacked, vanquished and destroyed, the city of the Samnians. The same man, stimulated by private pique against the Megaren sians,(b) another nation of Greece, or to avoid a prosecution with which he was threatened as an accomplice in a supposed theft of the statuary Phidias,(c) or to get rid of the accusations prepared to be brought against him for dissipating the funds of the State in the purchase of popularity,(d) or from a combination of all these causes, was the primitive author of that famous and fatal war, distinguished in the Grecian annals by the name of the Pelopponesian war; which, after various vicissitudes, intermissions and renewals, terminated in the ruin of the Athenian commonwealth.",Citation,tp
Federalist No 67 The Executive Department 11,The ,second clause of the second section of the second article," empowers the President of the United States ""to nominate, and by and with the advice and consent of the Senate to appoint ambassadors, other public ministers and consuls, judges of the Supreme Court, and all other officers of the United States, whose appointments are not in the Constitution otherwise provided for, and which shall be established by law."" Immediately after this clause follows another in these words-""The President shall have power to fill up all vacancies that may happen during the recess of the Senate, by granting commissions which shall expire at the end of their next session."" It is from this last provision that the pretended power of the President to fill vacancies in the Senate has been deduced. A slight attention to the connection of the clauses and to the obvious meaning of the terms will satisfy us that the deduction is not even colorable.",Citation,tp
Federalist No 42 The Powers Conferred By The Constitution Further Considered 8,It were doubtless to be wished that the ,power of prohibiting the importation of slaves,", had not been postponed until the year 1808, or rather that it had been suffered to have immediate operation. But it is not difficult to account either for this restriction on the general government, or for the manner in which the whole clause is expressed. It ought to be considered a great point gained in favor of humanity, that a period of twenty years may terminate for ever within these States, a traffic which has so long and so loudly upbraided the barbarism of modern policy; that within that period it will receive a considerable discouragement from the fœderal Government, and may be totally abolished by a concurrence of the few States which continue the unnatural traffic, in the prohibitory example which has been given by so great a majority of the Union. Happy would it be for the unfortunate Africans, if an equal prospect lay before them, of being redeemed from the oppressions of their European brethren!",Citation,tp
Federalist No 24 The Powers Necessary To The Common Defense Further Considered 17,(a) This statement of the matter is taken from the printed collections of ,State Constitutions,.-,Citation,tp
Federalist No 24 The Powers Necessary To The Common Defense Further Considered 17,.-,Pennsylvania and North-Carolina,", are the two which contain the interdiction in these words-""As standing armies in time of peace are dangerous to liberty, they ought not to be kept up."" This is in truth rather a caution than a prohibition. ",Citation,tp
Federalist No 24 The Powers Necessary To The Common Defense Further Considered 17,", are the two which contain the interdiction in these words-""As standing armies in time of peace are dangerous to liberty, they ought not to be kept up."" This is in truth rather a caution than a prohibition. ",New-Hampshire,", ",Citation,tp
Federalist No 24 The Powers Necessary To The Common Defense Further Considered 17,", ",Massachusetts,", ",Citation,tp
Federalist No 24 The Powers Necessary To The Common Defense Further Considered 17,", ",Delaware, and ,Citation,tp
Federalist No 24 The Powers Necessary To The Common Defense Further Considered 17, and ,Maryland,", have in each of their ",Citation,tp
Federalist No 24 The Powers Necessary To The Common Defense Further Considered 17,", have in each of their ",bills of rights a clause," to this effect-""Standing armies are dangerous to liberty, and ought not to be raised or kept up without the consent of the Legislature""-which is a formal admission of the authority of the Legislature. NEW-YORK has no bill of her rights, and her constitution says not a word about the matter. No bills of rights appear annexed to the constitutions of the other States except the foregoing, and their constitutions are equally silent I am told, however, that one or two States have bills of rights, which do not appear in this collection; but that those also recognize the right of the legislative authority in this respect.",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 27 Powers of Congress (Purchases of Foreign Territory and Embargoes) 1278",In regard to the ,acquisition of Louisiana,: The ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 27 Powers of Congress (Purchases of Foreign Territory and Embargoes) 1278",: The ,treaty of 1803," contains a cession of the whole of that vast territory by France to the United States, for a sum exceeding eleven millions of dollars. There is a stipulation in the treaty on the part of the United States, that the inhabitants of the ceded territory shall be incorporated into the Union, and admitted, as soon as possible, according to the principles of the federal constitution, to the enjoyment of all the rights, advantages, and immunities of citizens of the United States. ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 27 Powers of Congress (Purchases of Foreign Territory and Embargoes) 1278"," contains a cession of the whole of that vast territory by France to the United States, for a sum exceeding eleven millions of dollars. There is a stipulation in the treaty on the part of the United States, that the inhabitants of the ceded territory shall be incorporated into the Union, and admitted, as soon as possible, according to the principles of the federal constitution, to the enjoyment of all the rights, advantages, and immunities of citizens of the United States. ",Art. 3,.,Citation,tp
"Tocqueville, Democracy in America (1835), Book I, Chapter XVIII Future Condition Of Three Races (Part VII) 23","In 1829 the tonnage of all the merchant vessels belonging to Virginia, the two Carolinas, and Georgia (the four great Southern States), amounted to only 5,243 tons. In the same year the tonnage of the vessels of the State of Massachusetts alone amounted to 17,322 tons. (See ","Legislative Documents, 21st Congress, 2d session, No. 140, p. 244",".) Thus the State of Massachusetts had three times as much shipping as the four above-mentioned States. Nevertheless the area of the State of Massachusetts is only 7,335 square miles, and its population amounts to 610,014 inhabitants [2,238,943 in 1890]; whilst the area of the four other States I have quoted is 210,000 square miles, and their population 3,047,767. Thus the area of the State of Massachusetts forms only one-thirtieth part of the area of the four States; and its population is five times smaller than theirs. (See “",Citation,tp
"Tocqueville, Democracy in America (1835), Book I, Chapter XVIII Future Condition Of Three Races (Part VII) 23",".) Thus the State of Massachusetts had three times as much shipping as the four above-mentioned States. Nevertheless the area of the State of Massachusetts is only 7,335 square miles, and its population amounts to 610,014 inhabitants [2,238,943 in 1890]; whilst the area of the four other States I have quoted is 210,000 square miles, and their population 3,047,767. Thus the area of the State of Massachusetts forms only one-thirtieth part of the area of the four States; and its population is five times smaller than theirs. (See “",Darby’s View of the United States,".”) Slavery is prejudicial to the commercial prosperity of the South in several different ways; by diminishing the spirit of enterprise amongst the whites, and by preventing them from meeting with as numerous a class of sailors as they require. Sailors are usually taken from the lowest ranks of the population. But in the Southern States these lowest ranks are composed of slaves, and it is very difficult to employ them at sea. They are unable to serve as well as a white crew, and apprehensions would always be entertained of their mutinying in the middle of the ocean, or of their escaping in the foreign countries at which they might touch.]",Citation,tp
"Madison's Notes on the Constitutional Convention, June 07 1",Thursday June 7th. 1787—In Committee of the whole Mr. Pinkney according to notice moved to reconsider the ,clause respecting the negative on State laws,", which was agreed to, and tomorrow for fixed the purpose.",Citation,tp
"Madison's Notes on the Constitutional Convention, June 19 7",3. Will it prevent trespasses of the States on each other? Of these enough has been already seen. He instanced ,Acts of Virga. &amp,; Maryland which give a preference to their own citizens in cases where the Citizens (of other states) are entitled to equality of privileges by the ,Citation,tp
"Madison's Notes on the Constitutional Convention, June 19 7",; Maryland which give a preference to their own citizens in cases where the Citizens (of other states) are entitled to equality of privileges by the ,Articles of Confederation,". He considered the emissions of paper money (&amp; other kindred measures) as also aggressions. The States relatively to one an other being each of them either Debtor or Creditor; The Creditor States must suffer unjustly from every emission by the debtor States. We have seen retaliating acts on this subject which threatened danger not to the harmony only, but the tranquillity of the Union. The ",Citation,tp
"Madison's Notes on the Constitutional Convention, June 19 7",". He considered the emissions of paper money (&amp; other kindred measures) as also aggressions. The States relatively to one an other being each of them either Debtor or Creditor; The Creditor States must suffer unjustly from every emission by the debtor States. We have seen retaliating acts on this subject which threatened danger not to the harmony only, but the tranquillity of the Union. The ",plan of Mr. Paterson,", not giving even a negative on the Acts of the States, left them as much at liberty as ever to execute their unrighteous projects agst. each other.",Citation,tp
"Tocqueville, Democracy in America (1835), Book I, Chapter XVIII Future Condition Of Three Races (Part III) 28",The first negroes were imported into Virginia about the year 1621. [ See ,Beverley’s “History of Virginia,.” See also in ,Citation,tp
"Tocqueville, Democracy in America (1835), Book I, Chapter XVIII Future Condition Of Three Races (Part III) 28",.” See also in ,Jefferson’s “Memoirs,"” some curious details concerning the introduction of negroes into Virginia, and the first ",Citation,tp
"Tocqueville, Democracy in America (1835), Book I, Chapter XVIII Future Condition Of Three Races (Part III) 28","” some curious details concerning the introduction of negroes into Virginia, and the first ",Act which prohibited the importation of them in 1778,".] In America, therefore, as well as in the rest of the globe, slavery originated in the South. Thence it spread from one settlement to another; but the number of slaves diminished towards the Northern States, and the negro population was always very limited in New England. [ The number of slaves was less considerable in the North, but the advantages resulting from slavery were not more contested there than in the South. In 1740, the Legislature of the State of New York declared that the direct importation of slaves ought to be encouraged as much as possible, and smuggling severely punished in order not to discourage the fair trader. (",Citation,tp
"Tocqueville, Democracy in America (1835), Book I, Chapter XVIII Future Condition Of Three Races (Part III) 28",".] In America, therefore, as well as in the rest of the globe, slavery originated in the South. Thence it spread from one settlement to another; but the number of slaves diminished towards the Northern States, and the negro population was always very limited in New England. [ The number of slaves was less considerable in the North, but the advantages resulting from slavery were not more contested there than in the South. In 1740, the Legislature of the State of New York declared that the direct importation of slaves ought to be encouraged as much as possible, and smuggling severely punished in order not to discourage the fair trader. (","Kent’s “Commentaries,” vol. ii. p. 206",".) Curious researches, by Belknap, upon slavery in New England, are to be found in the “",Citation,tp
"Tocqueville, Democracy in America (1835), Book I, Chapter XVIII Future Condition Of Three Races (Part III) 28",".) Curious researches, by Belknap, upon slavery in New England, are to be found in the “","Historical Collection of Massachusetts,” vol. iv. p. 193",". It appears that negroes were introduced there in 1630, but that the legislation and manners of the people were opposed to slavery from the first; see also, in the same work, the manner in which public opinion, and afterwards the laws, finally put an end to slavery.]",Citation,tp
